display_name_zh,skill_id,category,category_slug,version,path
产品营销简报,product-marketing-brief,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/product-marketing-brief
产品营销上下文,product-marketing-context,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/product-marketing-context
产品选品,product-selection,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/product-selection
场景驱动产品侦察器,scenario-driven-product-scout,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/scenario-driven-product-scout
技术包生成,tech-pack-generation,产品策略与商品规划,02-product-strategy-merchandising,0.0.62,02-product-strategy-merchandising/tech-pack-generation
1688采购,1688-sourcing,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/1688-sourcing
AliExpress供应商评估器,aliexpress-supplier-evaluator,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/aliexpress-supplier-evaluator
亚马逊FBA库存优化器,amazon-fba-inventory-optimizer,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/amazon-fba-inventory-optimizer
CJ代发货API集成,cj-dropshipping-api,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/cj-dropshipping-api
代发货供应商集成,dropshipping-supplier-integrator,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/dropshipping-supplier-integrator
国际物流与海关,international-shipping-customs,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/international-shipping-customs
库存需求预测器,inventory-demand-forecaster,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/inventory-demand-forecaster
多仓订单路由器,multi-location-order-router,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/multi-location-order-router
多渠道库存同步,multichannel-inventory-sync,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/multichannel-inventory-sync
产品供应商寻源,product-supplier-sourcing,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/product-supplier-sourcing
供应商绩效管理,supplier-performance-manager,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/supplier-performance-manager
关税查询,tariff-search,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/tariff-search
仓库履约流程,warehouse-fulfillment-workflow,采购供应链与履约,03-sourcing-supply-chain,0.0.62,03-sourcing-supply-chain/warehouse-fulfillment-workflow
亚马逊品牌保护,amazon-brand-protection,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/amazon-brand-protection
亚马逊Listing专家,amazon-listing-expert,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/amazon-listing-expert
亚马逊PPC广告管理器,amazon-ppc-campaign-manager,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/amazon-ppc-campaign-manager
亚马逊热搜关键词,amz-hot-keywords,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/amz-hot-keywords
亚马逊产品优化器,amz-product-optimizer,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/amz-product-optimizer
Etsy SEO优化器,etsy-seo-optimizer,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/etsy-seo-optimizer
Google Shopping Feed优化器,google-shopping-feed-optimizer,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/google-shopping-feed-optimizer
Shopify广告ROAS优化器,shopify-ads-roas-optimizer,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/shopify-ads-roas-optimizer
Shopify搭建器,shopify-builder,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/shopify-builder
Shopify产品页CRO,shopify-product-page-cro,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/shopify-product-page-cro
Shopify加购与交叉销售,shopify-upsell-cross-sell,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/shopify-upsell-cross-sell
社交电商同步,social-commerce-sync,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/social-commerce-sync
TikTok广告策略,tiktok-ads-strategy,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/tiktok-ads-strategy
TikTok Shop搭建,tiktok-shop-setup,平台渠道与店铺运营,04-marketplaces-sales-channels,0.0.62,04-marketplaces-sales-channels/tiktok-shop-setup
弃购挽回,cart-abandonment-recovery,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/cart-abandonment-recovery
客户留存自动化,customer-retention-automator,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/customer-retention-automator
客户赢回自动化,customer-winback-automator,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/customer-winback-automator
电商营销,ecommerce-marketing,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/ecommerce-marketing
邮件自动化流程构建器,email-automation-flow-builder,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/email-automation-flow-builder
生命周期营销自动化,lifecycle-marketing-automator,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/lifecycle-marketing-automator
会员积分设计器,loyalty-points-designer,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/loyalty-points-designer
营销创意,marketing-ideas,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/marketing-ideas
营销心理学,marketing-psychology,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/marketing-psychology
营销ROAS分析器,marketing-roas-analyzer,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/marketing-roas-analyzer
推荐返利计划构建器,referral-program-builder,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/referral-program-builder
评价邀约自动化,review-request-automator,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/review-request-automator
季节性营销活动自动化,seasonal-campaign-automator,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/seasonal-campaign-automator
社交媒体内容创作者,social-media-content-creator,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/social-media-content-creator
Vibe营销,vibe-marketing,营销增长与CRM,05-marketing-growth-crm,0.0.62,05-marketing-growth-crm/vibe-marketing
内容拆解,content-breakdown,SEO与内容,06-seo-content,0.0.62,06-seo-content/content-breakdown
内容策略,content-strategy,SEO与内容,06-seo-content,0.0.62,06-seo-content/content-strategy
文案写作,copywriting,SEO与内容,06-seo-content,0.0.62,06-seo-content/copywriting
电商SEO优化器,ecommerce-seo-optimizer,SEO与内容,06-seo-content,0.0.62,06-seo-content/ecommerce-seo-optimizer
程序化SEO策略师,programmatic-seo-strategist,SEO与内容,06-seo-content,0.0.62,06-seo-content/programmatic-seo-strategist
SEO竞争对手分析,seo-competitor-analysis,SEO与内容,06-seo-content,0.0.62,06-seo-content/seo-competitor-analysis
SEO关键词研究,seo-keyword-research,SEO与内容,06-seo-content,0.0.62,06-seo-content/seo-keyword-research
SEO页面审计,seo-page-audit,SEO与内容,06-seo-content,0.0.62,06-seo-content/seo-page-audit
SERP排名分析器,serp-ranking-analyzer,SEO与内容,06-seo-content,0.0.62,06-seo-content/serp-ranking-analyzer
A/B测试设置,ab-test-setup,转化定价与收入优化,07-conversion-pricing-revenue,0.0.62,07-conversion-pricing-revenue/ab-test-setup
先买后付设置,buy-now-pay-later-setup,转化定价与收入优化,07-conversion-pricing-revenue,0.0.62,07-conversion-pricing-revenue/buy-now-pay-later-setup
结账流程优化器,checkout-flow-optimizer,转化定价与收入优化,07-conversion-pricing-revenue,0.0.62,07-conversion-pricing-revenue/checkout-flow-optimizer
优惠券折扣管理器,coupon-discount-manager,转化定价与收入优化,07-conversion-pricing-revenue,0.0.62,07-conversion-pricing-revenue/coupon-discount-manager
折扣促销引擎,discount-promotion-engine,转化定价与收入优化,07-conversion-pricing-revenue,0.0.62,07-conversion-pricing-revenue/discount-promotion-engine
动态定价引擎,dynamic-pricing-engine,转化定价与收入优化,07-conversion-pricing-revenue,0.0.62,07-conversion-pricing-revenue/dynamic-pricing-engine
免费增值升级优化器,freemium-upgrade-optimizer,转化定价与收入优化,07-conversion-pricing-revenue,0.0.62,07-conversion-pricing-revenue/freemium-upgrade-optimizer
多币种结账,multi-currency-checkout,转化定价与收入优化,07-conversion-pricing-revenue,0.0.62,07-conversion-pricing-revenue/multi-currency-checkout
电商页面转化优化,optimize-ecommerce-page-conversion,转化定价与收入优化,07-conversion-pricing-revenue,0.0.62,07-conversion-pricing-revenue/optimize-ecommerce-page-conversion
B2B付款条款优化器,b2b-payment-terms-optimizer,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/b2b-payment-terms-optimizer
拒付争议管理,chargeback-dispute-manager,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/chargeback-dispute-manager
财务模型创建,creating-financial-models,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/creating-financial-models
客户生命周期价值计算器,customer-ltv-calculator,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/customer-ltv-calculator
DCF估值,dcf-valuation,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/dcf-valuation
电商预算预测器,ecommerce-budget-forecaster,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/ecommerce-budget-forecaster
电商财务仪表盘,ecommerce-financial-dashboard,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/ecommerce-financial-dashboard
电商GDPR合规,ecommerce-gdpr-compliance,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/ecommerce-gdpr-compliance
电商销售仪表盘,ecommerce-sales-dashboard,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/ecommerce-sales-dashboard
发票生成器,invoice-generator,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/invoice-generator
支付欺诈检测器,payment-fraud-detector,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/payment-fraud-detector
利润率分析器,profit-margin-analyzer,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/profit-margin-analyzer
销售税与VAT自动化,sales-tax-vat-automator,财务支付与合规,08-finance-payments-compliance,0.0.62,08-finance-payments-compliance/sales-tax-vat-automator
客户RFM分析器,customer-rfm-analyzer,客户服务与售后,09-customer-service-returns,0.0.62,09-customer-service-returns/customer-rfm-analyzer
客户声音分析器,customer-voice-analyzer,客户服务与售后,09-customer-service-returns,0.0.62,09-customer-service-returns/customer-voice-analyzer
客服工单订单集成,helpdesk-order-integration,客户服务与售后,09-customer-service-returns,0.0.62,09-customer-service-returns/helpdesk-order-integration
退货政策设计器,return-policy-designer,客户服务与售后,09-customer-service-returns,0.0.62,09-customer-service-returns/return-policy-designer
退换货自动化,returns-exchange-automator,客户服务与售后,09-customer-service-returns,0.0.62,09-customer-service-returns/returns-exchange-automator
销售谈判专家,sales-negotiator,客户服务与售后,09-customer-service-returns,0.0.62,09-customer-service-returns/sales-negotiator
网站创建,create-website,建站开发与系统集成,10-storefront-dev-integration,0.0.62,10-storefront-dev-integration/create-website
GraphQL操作,graphql-operations,建站开发与系统集成,10-storefront-dev-integration,0.0.62,10-storefront-dev-integration/graphql-operations
Shopify开发MCP,shopify-dev-mcp,建站开发与系统集成,10-storefront-dev-integration,0.0.62,10-storefront-dev-integration/shopify-dev-mcp
Shopify开发者,shopify-developer,建站开发与系统集成,10-storefront-dev-integration,0.0.62,10-storefront-dev-integration/shopify-developer
Higgsfield指南,higgsfield-guide,创意媒体与设计,11-creative-media-design,0.0.62,11-creative-media-design/higgsfield-guide
图片提示词指南,image-prompt-guide,创意媒体与设计,11-creative-media-design,0.0.62,11-creative-media-design/image-prompt-guide
Logo设计,logo-design,创意媒体与设计,11-creative-media-design,0.0.62,11-creative-media-design/logo-design
Remotion视频,remotion,创意媒体与设计,11-creative-media-design,0.0.62,11-creative-media-design/remotion
文档共创,doc-coauthoring,文档办公与协作,12-documents-office-productivity,0.0.62,12-documents-office-productivity/doc-coauthoring
Word文档处理,docx,文档办公与协作,12-documents-office-productivity,0.0.62,12-documents-office-productivity/docx
内部沟通,internal-comms,文档办公与协作,12-documents-office-productivity,0.0.62,12-documents-office-productivity/internal-comms
飞书工具,lark-tools,文档办公与协作,12-documents-office-productivity,0.0.62,12-documents-office-productivity/lark-tools
PDF处理,pdf,文档办公与协作,12-documents-office-productivity,0.0.62,12-documents-office-productivity/pdf
PPT演示文稿处理,pptx,文档办公与协作,12-documents-office-productivity,0.0.62,12-documents-office-productivity/pptx
Excel表格处理,xlsx,文档办公与协作,12-documents-office-productivity,0.0.62,12-documents-office-productivity/xlsx
Accio MCP CLI,accio-mcp-cli,Codex/MCP工具与技能管理,13-codex-mcp-tooling,0.0.62,13-codex-mcp-tooling/accio-mcp-cli
MCP工具,mcp-tools,Codex/MCP工具与技能管理,13-codex-mcp-tooling,0.0.62,13-codex-mcp-tooling/mcp-tools
MCP迁移器,mcporter,Codex/MCP工具与技能管理,13-codex-mcp-tooling,0.0.62,13-codex-mcp-tooling/mcporter
技能创建器,skill-creator,Codex/MCP工具与技能管理,13-codex-mcp-tooling,0.0.62,13-codex-mcp-tooling/skill-creator
技能查找器,skill-finder,Codex/MCP工具与技能管理,13-codex-mcp-tooling,0.0.62,13-codex-mcp-tooling/skill-finder
技能安全审查器,skill-vetter,Codex/MCP工具与技能管理,13-codex-mcp-tooling,0.0.62,13-codex-mcp-tooling/skill-vetter
自我改进,self-improvement,个人发展与学习,14-personal-development-learning,0.0.62,14-personal-development-learning/self-improvement
